1,1,0
2,0.9,0.1
3,0.666667,0.333333
4,0.525,0.475
5,0.62,0.38
6,0.516667,0.483333
7,0.514286,0.485714
8,0.475,0.525
9,0.433333,0.566667
10,0.46,0.54
11,0.327273,0.672727
12,0.383333,0.616667
13,0.361538,0.638462
14,0.364286,0.635714
15,0.353333,0.646667
16,0.375,0.625
17,0.358824,0.641176
18,0.344444,0.655556
19,0.378947,0.621053
20,0.325,0.675
21,0.328571,0.671429
22,0.290909,0.709091
23,0.269565,0.730435
24,0.320833,0.679167
25,0.28,0.72
26,0.269231,0.730769
27,0.3,0.7
28,0.267857,0.732143
29,0.262069,0.737931
30,0.243333,0.756667
